Timestamp,Year of Study,Department,Gender,1. Difficulty Falling Asleep,2. Avg Sleep Hours,3. Waking at Night,4. Sleep Quality,5. Concentration Issues,6. Daytime Fatigue,7. Classes Missed (per week),8. Assignment Impact,9. Screen Time Before Bed,10. Caffeine Use,11. Physical Activity,12. Stress Level,13. Academic Performance
"15/4/2026, 9:43:30 am",first year,eee,male,every night,5-6 hours,often (5-6 times a week),good,never,sometimes,never,moderate impact,sometimes (3-4 times a week),rarely (1-2 times a week),rarely (1-2 times a week),no stress,average
"15/4/2026, 9:43:33 am",first year,cse,male,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),average,often,rarely,never,moderate impact,sometimes (3-4 times a week),rarely (1-2 times a week),never,high stress,good
"15/4/2026, 9:43:56 am",second year,cse,male,sometimes (3-4 times a week),7-8 hours,often (5-6 times a week),good,always,sometimes,sometimes (1-2 times a week),minor impact,often (5-6 times a week),never,often (5-6 times a week),high stress,average
"15/4/2026, 9:44:01 am",second year,cse,male,never,6-7 hours,often (5-6 times a week),average,often,rarely,sometimes (1-2 times a week),minor impact,often (5-6 times a week),never,never,no stress,good
"15/4/2026, 9:44:03 am",second year,eee,male,every night,5-6 hours,every night,very good,often,always,sometimes (1-2 times a week),minor impact,sometimes (3-4 times a week),never,often (5-6 times a week),low stress,average
"15/4/2026, 9:44:07 am",second year,cse,female,never,7-8 hours,rarely (1-2 times a week),good,often,never,rarely (1-2 times a month),minor impact,every night,rarely (1-2 times a week),sometimes (3-4 times a week),high stress,average
"15/4/2026, 9:44:13 am",second year,cse,male,never,5-6 hours,often (5-6 times a week),average,sometimes,always,sometimes (1-2 times a week),minor impact,often (5-6 times a week),every day,sometimes (3-4 times a week),high stress,average
"15/4/2026, 9:44:18 am",second year,cse,male,never,6-7 hours,often (5-6 times a week),average,often,often,never,moderate impact,every night,sometimes (3-4 times a week),often (5-6 times a week),high stress,average
"15/4/2026, 9:44:22 am",second year,cse,male,every night,6-7 hours,rarely (1-2 times a week),good,always,always,often (3-4 times a week),severe impact,every night,rarely (1-2 times a week),sometimes (3-4 times a week),high stress,below average
"15/4/2026, 9:44:26 am",second year,cse,male,every night,7-8 hours,rarely (1-2 times a week),good,sometimes,sometimes,rarely (1-2 times a month),minor impact,every night,rarely (1-2 times a week),sometimes (3-4 times a week),no stress,average
