Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/24/2024 17:53:55,graduate student,female,every night,7-8 hours,often (5-6 times a week),good,often,always,often (3-4 times a week),moderate impact,every night,every day,every day,high stress,poor
10/24/2024 17:57:22,third year,female,often (5-6 times a week),more than 8 hours,every night,very good,always,often,often (3-4 times a week),moderate impact,sometimes (3-4 times a week),often (5-6 times a week),often (5-6 times a week),high stress,poor
10/24/2024 17:57:48,second year,female,often (5-6 times a week),7-8 hours,every night,poor,rarely,sometimes,rarely (1-2 times a month),moderate impact,sometimes (3-4 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),high stress,poor
10/24/2024 18:02:23,third year,male,sometimes (3-4 times a week),7-8 hours,rarely (1-2 times a week),poor,rarely,rarely,rarely (1-2 times a month),minor impact,rarely (1-2 times a week),rarely (1-2 times a week),rarely (1-2 times a week),low stress,poor
10/24/2024 18:02:48,second year,male,every night,7-8 hours,often (5-6 times a week),good,rarely,rarely,rarely (1-2 times a month),moderate impact,sometimes (3-4 times a week),rarely (1-2 times a week),rarely (1-2 times a week),high stress,poor
10/24/2024 18:03:13,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),poor,sometimes,sometimes,rarely (1-2 times a month),moderate impact,sometimes (3-4 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),high stress,poor
10/24/2024 18:03:45,second year,male,often (5-6 times a week),7-8 hours,every night,very good,sometimes,often,sometimes (1-2 times a week),major impact,sometimes (3-4 times a week),sometimes (3-4 times a week),often (5-6 times a week),high stress,poor
10/24/2024 18:04:13,third year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,sometimes,sometimes,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,poor
10/24/2024 18:05:24,graduate student,male,every night,more than 8 hours,every night,very good,sometimes,always,sometimes (1-2 times a week),major impact,sometimes (3-4 times a week),often (5-6 times a week),sometimes (3-4 times a week),high stress,poor
10/24/2024 18:06:00,graduate student,male,sometimes (3-4 times a week),7-8 hours,often (5-6 times a week),average,sometimes,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,poor
